ID do pacote,N.º Rota,Parada,Ponto,Data de Inbound,Altura,Largura,Comprimento,Localização do pacote,Detalhe do pacote
46503897519,Y4_AM100,98,A,,13,2,18,Caminho para a estação,
46504769214,Y4_AM100,98,A,,16,4,21,Caminho para a estação,
46509399973,Y4_AM100,98,A,,17,4,21,Caminho para a estação,
46493286228,Y4_AM100,99,A,,16,10,22,Caminho para a estação,
46468251204,Y4_AM100,100,A,,14,11,17,Caminho para a estação,
46502541537,Y4_AM100,101,A,,13,9,21,Caminho para a estação,
46498497970,Y4_AM100,104,A,,17,6,24,Caminho para a estação,
46508150104,Y4_AM100,106,A,,12,7,13,Caminho para a estação,
46495284878,Y4_AM100,108,A,,14,5,16,Caminho para a estação,
46500286238,Y4_AM100,108,A,,13,13,14,Caminho para a estação,
46503284249,Y4_AM100,108,A,,33,37,22,Caminho para a estação,
46512678138,Y4_AM100,108,A,,28,5,42,Caminho para a estação,
46474022662,Y4_AM100,109,A,,26,24,50,Caminho para a estação,
46494293889,Y4_AM100,109,A,,13,7,21,Caminho para a estação,
46494787119,Y4_AM100,109,A,,20,9,21,Caminho para a estação,
46495372987,Y4_AM100,109,A,,14,3,25,Caminho para a estação,
46502025421,Y4_AM100,111,A,,48,43,61,Caminho para a estação,
46506250223,Y4_AM100,111,A,,48,43,61,Caminho para a estação,
46508081597,Y4_AM100,111,A,,20,5,20,Caminho para a estação,
46508318243,Y4_AM100,111,A,,50,50,50,Caminho para a estação,
46508856950,Y4_AM100,111,A,,48,43,61,Caminho para a estação,
46510501805,Y4_AM100,111,A,,23,10,23,Caminho para a estação,
46491946010,Y4_AM100,115,A,,30,16,25,Caminho para a estação,
46510302103,Y4_AM100,117,A,,16,6,23,Caminho para a estação,
46506535340,Y4_AM100,120,A,,10,3,14,Caminho para a estação,
46503979369,Y4_AM100,122,A,,21,10,33,Caminho para a estação,
46504677530,Y4_AM100,123,A,,31,14,44,Caminho para a estação,
46477140410,Y4_AM100,125,A,,20,8,26,Caminho para a estação,
46442473420,Y4_AM100,127,A,,29,16,32,Caminho para a estação,
46504229567,Y4_AM100,128,A,,62,13,41,Caminho para a estação,
46502869585,Y4_AM100,130,A,,13,6,18,Caminho para a estação,
46501248585,Y4_AM100,132,A,,30,4,39,Caminho para a estação,
46501675709,Y4_AM100,132,A,,36,17,45,Caminho para a estação,
46501961186,Y4_AM100,132,A,,27,17,40,Caminho para a estação,
46504867757,Y4_AM100,132,A,,32,42,18,Caminho para a estação,
46506413426,Y4_AM100,132,A,,35,17,55,Caminho para a estação,
46507228393,Y4_AM100,132,A,,24,5,36,Caminho para a estação,
46507919473,Y4_AM100,132,A,,17,17,26,Caminho para a estação,
46508064721,Y4_AM100,132,A,,30,6,37,Caminho para a estação,
46508315503,Y4_AM100,132,A,,28,7,36,Caminho para a estação,
46509396599,Y4_AM100,132,A,,33,17,54,Caminho para a estação,
46509655683,Y4_AM100,132,A,,33,11,46,Caminho para a estação,
46509714273,Y4_AM100,132,A,,45,16,55,Caminho para a estação,
46509911708,Y4_AM100,132,A,,43,18,52,Caminho para a estação,
46510618523,Y4_AM100,132,A,,33,7,54,Caminho para a estação,
46510766732,Y4_AM100,132,A,,41,11,58,Caminho para a estação,
46510931254,Y4_AM100,132,A,,24,17,59,Caminho para a estação,
46511027155,Y4_AM100,132,A,,32,4,47,Caminho para a estação,
46511045771,Y4_AM100,132,A,,24,5,36,Caminho para a estação,
46511217694,Y4_AM100,132,A,,41,16,52,Caminho para a estação,
46511599430,Y4_AM100,132,A,,24,5,36,Caminho para a estação,
46503558216,Y4_AM100,133,A,,30,7,44,Caminho para a estação,
46508071393,Y4_AM100,134,A,,29,29,29,Caminho para a estação,
46510006817,Y4_AM100,134,A,,24,24,39,Caminho para a estação,
46503007556,Y4_AM100,135,A,,12,8,14,Caminho para a estação,
46505298074,Y4_AM100,135,A,,9,2,17,Caminho para a estação,
46506843203,Y4_AM100,135,A,,10,2,17,Caminho para a estação,
46509692466,Y4_AM100,135,A,,9,2,17,Caminho para a estação,
46509969988,Y4_AM100,135,A,,9,2,17,Caminho para a estação,
46511641186,Y4_AM100,135,A,,9,2,17,Caminho para a estação,
46502082536,Y4_AM100,137,A,,10,8,10,Caminho para a estação,
46495749057,Y4_AM100,138,A,,28,5,23,Caminho para a estação,
46506257615,Y4_AM100,143,A,,14,3,18,Caminho para a estação,
46501836181,Y4_AM100,147,A,,15,9,19,Caminho para a estação,
46509649373,Y4_AM100,147,A,,11,9,14,Caminho para a estação,
46510352295,Y4_AM100,147,A,,19,4,53,Caminho para a estação,
46501690164,Y4_AM100,148,A,,20,2,30,Caminho para a estação,
46502198184,Y4_AM100,148,A,,26,3,30,Caminho para a estação,
46504852102,Y4_AM100,148,A,,25,4,29,Caminho para a estação,
46507703976,Y4_AM100,148,A,,19,3,26,Caminho para a estação,
46508970836,Y4_AM100,148,A,,21,3,30,Caminho para a estação,
46509550514,Y4_AM100,148,A,,28,6,35,Caminho para a estação,
46509918689,Y4_AM100,148,A,,27,4,28,Caminho para a estação,
46510642651,Y4_AM100,148,A,,25,2,31,Caminho para a estação,
46501619904,Y4_AM100,150,A,,11,4,17,Caminho para a estação,
46511957714,Y4_AM100,150,A,,20,16,30,Caminho para a estação,
46496646542,Y4_AM100,151,A,,17,13,19,Caminho para a estação,
46506450798,Y4_AM100,153,A,,25,6,21,Caminho para a estação,
46505515930,Y4_AM100,156,A,,27,4,31,Caminho para a estação,
46507926453,Y4_AM100,156,A,,26,6,31,Caminho para a estação,
46510016193,Y4_AM100,156,A,,28,5,32,Caminho para a estação,
46509524628,Y4_AM100,157,A,,20,32,1,Caminho para a estação,
46496031159,Y4_AM100,159,A,,25,19,30,Caminho para a estação,
46508333976,Y4_AM100,162,A,,12,5,20,Caminho para a estação,
46510571941,Y4_AM100,162,A,,12,6,21,Caminho para a estação,
46504811575,Y4_AM100,163,A,,37,28,50,Caminho para a estação,
46510950666,Y4_AM100,163,A,,12,11,30,Caminho para a estação,
46508156506,Y4_AM100,164,A,,17,5,33,Caminho para a estação,
46497132483,Y4_AM100,167,A,,13,45,60,Caminho para a estação,
46497409264,Y4_AM100,167,A,,13,24,45,Caminho para a estação,
46410753091,Y4_AM100,168,A,,32,13,26,Caminho para a estação,
46502589494,Y4_AM100,170,A,,30,6,19,Caminho para a estação,
46506779008,Y4_AM100,171,A,,12,7,19,Caminho para a estação,
46509543717,Y4_AM100,171,A,,13,7,20,Caminho para a estação,
46501283081,Y4_AM100,175,A,,19,18,31,Caminho para a estação,
46501512101,Y4_AM100,175,A,,12,7,16,Caminho para a estação,
46504229088,Y4_AM100,175,A,,17,16,20,Caminho para a estação,
46508063639,Y4_AM100,175,A,,13,3,23,Caminho para a estação,
46510260013,Y4_AM100,175,A,,8,2,16,Caminho para a estação,
46510512690,Y4_AM100,175,A,,17,16,20,Caminho para a estação,
46499823002,Y4_AM100,177,A,,12,8,20,Caminho para a estação,
46507944559,Y4_AM100,182,A,,21,9,41,Caminho para a estação,
46511077016,Y4_AM100,182,A,,23,13,38,Caminho para a estação,
46503093533,Y4_AM100,184,A,,14,14,24,Caminho para a estação,
46501252363,Y4_AM100,192,A,,21,20,22,Caminho para a estação,
46501640766,Y4_AM100,192,A,,28,13,34,Caminho para a estação,
46504551827,Y4_AM100,192,A,,18,5,26,Caminho para a estação,
46502432188,Y4_AM100,193,A,,31,21,44,Caminho para a estação,
46497452540,Y4_AM100,194,A,,41,22,28,Caminho para a estação,
46501812918,Y4_AM100,195,A,,12,11,13,Caminho para a estação,
46503754897,Y4_AM100,195,A,,16,11,21,Caminho para a estação,
46507968993,Y4_AM100,195,A,,16,11,21,Caminho para a estação,
46508180169,Y4_AM100,195,A,,41,12,41,Caminho para a estação,
46508349669,Y4_AM100,195,A,,14,13,21,Caminho para a estação,
46509736354,Y4_AM100,195,A,,11,6,16,Caminho para a estação,
46510767844,Y4_AM100,195,A,,13,10,13,Caminho para a estação,
46512089607,Y4_AM100,195,A,,16,11,21,Caminho para a estação,
46503594847,Y4_AM100,199,A,,14,6,20,Caminho para a estação,
46448299009,Y4_AM100,201,A,,16,7,18,Caminho para a estação,
46510821927,Y4_AM100,203,A,,11,6,19,Caminho para a estação,
46501573838,Y4_AM100,204,A,,28,13,46,Caminho para a estação,
46506841889,Y4_AM100,204,A,,13,8,18,Caminho para a estação,
46508199050,Y4_AM100,204,A,,10,7,66,Caminho para a estação,
46508315594,Y4_AM100,204,A,,35,32,64,Caminho para a estação,
46469985308,Y4_AM100,205,A,,13,5,16,Caminho para a estação,
46451672839,Y4_AM100,206,A,,16,8,21,Caminho para a estação,
46501641908,Y4_AM100,206,A,,12,3,21,Caminho para a estação,
46506419673,Y4_AM100,206,A,,20,6,39,Caminho para a estação,
46507236106,Y4_AM100,206,A,,15,8,21,Caminho para a estação,
46507831234,Y4_AM100,206,A,,16,4,53,Caminho para a estação,
46507885566,Y4_AM100,206,A,,14,4,20,Caminho para a estação,
46510132620,Y4_AM100,209,A,,18,6,22,Caminho para a estação,
46507398041,Y4_AM100,210,A,,10,9,29,Caminho para a estação,
46507704135,Y4_AM100,211,A,,12,1,17,Caminho para a estação,
46501760247,Y4_AM100,212,A,,22,7,25,Caminho para a estação,
46508100943,Y4_AM100,212,A,,16,8,18,Caminho para a estação,
46509327465,Y4_AM100,212,A,,16,8,18,Caminho para a estação,
46501523557,Y4_AM100,213,A,,22,8,36,Caminho para a estação,
46472799026,Y4_AM100,216,A,,37,10,70,Caminho para a estação,
46448110478,Y4_AM100,217,A,,28,9,30,Caminho para a estação,
46501505561,Y4_AM100,217,A,,28,5,31,Caminho para a estação,
46506096872,Y4_AM100,217,A,,13,2,27,Caminho para a estação,
46507147218,Y4_AM100,217,A,,24,5,30,Caminho para a estação,
46507215316,Y4_AM100,217,A,,24,4,31,Caminho para a estação,
46508003939,Y4_AM100,217,A,,24,4,28,Caminho para a estação,
46509666737,Y4_AM100,217,A,,24,4,30,Caminho para a estação,
46510131406,Y4_AM100,217,A,,27,5,29,Caminho para a estação,
46502286143,Y4_AM100,218,A,,20,4,46,Caminho para a estação,
46512303164,Y4_AM100,219,A,,52,28,53,Caminho para a estação,
46463420145,Y4_AM100,220,A,,15,7,17,Caminho para a estação,
46504713270,Y4_AM100,221,A,,14,12,20,Caminho para a estação,
46491960562,Y4_AM100,222,A,,31,29,36,Caminho para a estação,
46501953445,Y4_AM100,223,A,,12,7,21,Caminho para a estação,
46502970461,Y4_AM100,226,A,,9,9,17,Caminho para a estação,
46509915938,Y4_AM100,227,A,,33,13,10,Caminho para a estação,
46510513326,Y4_AM100,228,A,,25,10,58,Caminho para a estação,
